,time,application,angry,disgust,fear,happy,sad,surprise
1603,2022_07_23_16_57_34,Terminal,0.2,0.0,0.13,0.0,0.65,0.02
1604,2022_07_23_16_57_37,Terminal,0.11,0.0,0.61,0.0,0.18,0.1
1605,2022_07_23_16_57_37,Terminal,0.41,0.0,0.08,0.27,0.23,0.02
1606,2022_07_23_16_57_38,Terminal,0.6,0.0,0.09,0.01,0.25,0.04
1607,2022_07_23_16_57_38,Terminal,0.91,0.0,0.0,0.0,0.09,0.0
1608,2022_07_23_16_57_39,Terminal,0.38,0.0,0.27,0.0,0.3,0.05
1609,2022_07_23_16_57_39,Terminal,0.11,0.0,0.48,0.11,0.28,0.02
1610,2022_07_23_16_57_39,Terminal,0.16,0.0,0.13,0.34,0.38,0.0
1611,2022_07_23_16_57_40,Terminal,0.23,0.0,0.06,0.39,0.31,0.0
1612,2022_07_23_16_57_40,Terminal,0.15,0.0,0.09,0.41,0.34,0.01
1613,2022_07_23_16_57_41,Terminal,0.1,0.0,0.06,0.68,0.16,0.0
1614,2022_07_23_16_57_42,Terminal,0.22,0.0,0.04,0.53,0.2,0.0
1615,2022_07_23_16_57_42,Terminal,0.01,0.0,0.02,0.75,0.0,0.22
1616,2022_07_23_16_57_43,Terminal,0.03,0.0,0.23,0.17,0.01,0.55
1617,2022_07_23_16_57_43,Terminal,0.02,0.0,0.06,0.08,0.01,0.82
1618,2022_07_23_16_57_44,Terminal,0.02,0.0,0.48,0.0,0.06,0.44
1619,2022_07_23_16_57_44,Terminal,0.12,0.0,0.26,0.0,0.28,0.33
1620,2022_07_23_16_57_45,Terminal,0.18,0.0,0.28,0.0,0.33,0.21
1621,2022_07_23_16_57_45,Terminal,0.33,0.0,0.23,0.04,0.32,0.08
1622,2022_07_23_16_57_45,Terminal,0.21,0.0,0.32,0.02,0.35,0.11
1623,2022_07_23_16_57_46,Terminal,0.19,0.0,0.31,0.03,0.37,0.09
1624,2022_07_23_16_57_46,Terminal,0.32,0.0,0.21,0.16,0.26,0.05
1625,2022_07_23_16_57_47,Terminal,0.12,0.0,0.0,0.62,0.25,0.0
1626,2022_07_23_16_57_47,Terminal,0.32,0.0,0.14,0.09,0.41,0.05
1627,2022_07_23_16_57_48,Terminal,0.37,0.0,0.16,0.05,0.42,0.0
1628,2022_07_23_16_57_48,Terminal,0.47,0.0,0.12,0.06,0.35,0.0
1629,2022_07_23_16_57_48,Terminal,0.25,0.0,0.25,0.08,0.38,0.04
1630,2022_07_23_16_57_49,Terminal,0.6,0.0,0.12,0.0,0.24,0.04
1631,2022_07_23_16_57_49,Terminal,0.38,0.0,0.15,0.0,0.46,0.0
1632,2022_07_23_16_57_50,Terminal,0.2,0.0,0.2,0.0,0.6,0.0
1633,2022_07_23_16_57_50,Terminal,0.18,0.0,0.27,0.0,0.55,0.0
1634,2022_07_23_16_57_50,Terminal,0.12,0.0,0.25,0.0,0.62,0.0
1635,2022_07_23_16_57_51,Electron,0.33,0.0,0.11,0.0,0.56,0.0
1636,2022_07_23_16_57_52,Terminal,0.38,0.0,0.0,0.0,0.62,0.0
1637,2022_07_23_16_57_52,Terminal,0.35,0.0,0.1,0.0,0.55,0.0
1638,2022_07_23_16_57_52,Terminal,0.31,0.0,0.1,0.0,0.59,0.0
1639,2022_07_23_16_57_53,Terminal,0.33,0.0,0.04,0.0,0.62,0.0
