2022-07-23 23:31:22,537 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:22] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:22,539 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:22,539 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:22,539 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:22,539 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:22] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:23,025 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:23] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:23,025 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:23,025 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:23,025 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:23,026 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:23] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:23,706 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:23] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:23,709 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:23,709 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:23,710 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:23,710 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:23] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:24,043 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:24] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:24,043 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:24,044 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:24,044 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:24,044 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:24] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:24,540 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:24] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:24,541 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:24,541 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:24,541 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:24,542 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:24] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:25,040 | server.py->returnSummary():34 | WARNING | RETURNING SUMMARY
2022-07-23 23:31:25,040 | server.py->returnSummary():40 | WARNING | {'emotion1': 'happy', 'emotion2': 'none', 'emotion3': 'none', 'comparing': 'Applications'}
2022-07-23 23:31:25,040 | server.py->returnSummary():42 | WARNING | Application Emotion Retreiving
2022-07-23 23:31:25,044 | data.py->summarizeApps():89 | WARNING | Emotions Sent: [[0.0, 0.04, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22, 0.05, 0.02]]
2022-07-23 23:31:25,045 | data.py->summarizeApps():101 | WARNING | App Emotions: {'Electron': 0.38}
2022-07-23 23:31:25,045 | data.py->summarizeApps():102 | WARNING | App Times: {'Electron': 18}
2022-07-23 23:31:25,045 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:25] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:25,045 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:25] "POST /summarize HTTP/1.1" 200 -
2022-07-23 23:31:25,046 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:25,046 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:25,046 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:25,047 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:25] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:25,548 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:25,549 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:25] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:25,549 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:25,549 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:25,549 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:25] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:26,073 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:26] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:26,076 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:26,077 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:26,077 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:26,077 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:26] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:26,559 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:26] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:26,559 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:26,560 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:26,560 | server.py->isAngry():28 | WARNING | 0
